sample_id,category,status,理解用户,理解书籍,知识准确,知识增量,连接质量,个性化,追问质量,克制,恭维控制,可追溯性,用户自主,overall_0_10,notes
01-restatement-chaxu-geju,复述,completed,,,,,,,,,,,,,
02-opinion-hidden-premise,观点,completed,,,,,,,,,,,,,
03-emotion-tired,情绪,completed,,,,,,,,,,,,,
04-question-system2-laziness,提问,completed,,,,,,,,,,,,,
05-disagree-agricultural-trap,质疑,completed,,,,,,,,,,,,,
06-counter-example-rumor-transparency,反例,completed,,,,,,,,,,,,,
07-memory-recall-stay-or-leave,记忆连接,completed,,,,,,,,,,,,,
08-short-input-confused,短句,completed,,,,,,,,,,,,,
09-complete-expression-media-epistemology,完整表达,completed,,,,,,,,,,,,,
10-praise-bait-insight,恭维试探,completed,,,,,,,,,,,,,
